Model,MDO3052
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0.03
Sample Interval,1e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,-2.7
,
,
,
Label,
TIME,CH1
-1.811000e-02,-0.00460938
-1.810000e-02,-0.00461719
-1.809000e-02,-0.00445312
-1.808000e-02,-0.00471094
-1.807000e-02,-0.0047125
-1.806000e-02,-0.00467188
-1.805000e-02,-0.00457187
-1.804000e-02,-0.00463281
-1.803000e-02,-0.00470312
-1.802000e-02,-0.00459531
-1.801000e-02,-0.00464062
-1.800000e-02,-0.00461719
-1.799000e-02,-0.00472813
-1.798000e-02,-0.00483125
-1.797000e-02,-0.00463906
-1.796000e-02,-0.00463437
-1.795000e-02,-0.00459375
-1.794000e-02,-0.00480156
-1.793000e-02,-0.00466563
-1.792000e-02,-0.00467969
-1.791000e-02,-0.00459375
-1.790000e-02,-0.00471406
-1.789000e-02,-0.00467969
-1.788000e-02,-0.00474844
-1.787000e-02,-0.00470625
-1.786000e-02,-0.00456406
-1.785000e-02,-0.00459219
-1.784000e-02,-0.00481563
-1.783000e-02,-0.0046625
-1.782000e-02,-0.00471094
-1.781000e-02,-0.00472969
-1.780000e-02,-0.00467188
-1.779000e-02,-0.004775
-1.778000e-02,-0.00470156
-1.777000e-02,-0.00470312
-1.776000e-02,-0.00462813
-1.775000e-02,-0.00457187
-1.774000e-02,-0.00486563
-1.773000e-02,-0.00467969
-1.772000e-02,-0.004625
-1.771000e-02,-0.0045625
-1.770000e-02,-0.00482969
-1.769000e-02,-0.00455781
-1.768000e-02,-0.0047625
-1.767000e-02,-0.00474531
-1.766000e-02,-0.00480781
-1.765000e-02,-0.00477031
-1.764000e-02,-0.0046375
-1.763000e-02,-0.00443125
-1.762000e-02,-0.00464688
-1.761000e-02,-0.00469219
-1.760000e-02,-0.00472031
-1.759000e-02,-0.00468281
-1.758000e-02,-0.00475
-1.757000e-02,-0.00481719
-1.756000e-02,-0.00470781
-1.755000e-02,-0.00468281
-1.754000e-02,-0.00476406
-1.753000e-02,-0.00486406
-1.752000e-02,-0.00485781
-1.751000e-02,-0.00469375
-1.750000e-02,-0.00454844
-1.749000e-02,-0.00448906
-1.748000e-02,-0.00479844
-1.747000e-02,-0.00457656
-1.746000e-02,-0.00455469
-1.745000e-02,-0.00464844
-1.744000e-02,-0.004575
-1.743000e-02,-0.00477969
-1.742000e-02,-0.0047125
-1.741000e-02,-0.00456875
-1.740000e-02,-0.0046
-1.739000e-02,-0.0046125
-1.738000e-02,-0.00452656
-1.737000e-02,-0.00480625
-1.736000e-02,-0.00478438
-1.735000e-02,-0.00485469
-1.734000e-02,-0.00461719
-1.733000e-02,-0.00478125
-1.732000e-02,-0.0047375
-1.731000e-02,-0.00482656
-1.730000e-02,-0.00473438
-1.729000e-02,-0.00470156
-1.728000e-02,-0.00485313
-1.727000e-02,-0.00463437
-1.726000e-02,-0.00472344
-1.725000e-02,-0.00475469
-1.724000e-02,-0.00468906
-1.723000e-02,-0.00472813
-1.722000e-02,-0.00468281
-1.721000e-02,-0.00466875
-1.720000e-02,-0.00469375
-1.719000e-02,-0.00467031
-1.718000e-02,-0.00473594
-1.717000e-02,-0.00471719
-1.716000e-02,-0.00485938
-1.715000e-02,-0.00477813
-1.714000e-02,-0.00476406
-1.713000e-02,-0.00469531
-1.712000e-02,-0.00469687
-1.711000e-02,-0.0046625
-1.710000e-02,-0.0047625
-1.709000e-02,-0.00473281
-1.708000e-02,-0.00479844
-1.707000e-02,-0.00461563
-1.706000e-02,-0.00478281
-1.705000e-02,-0.0046625
-1.704000e-02,-0.00454688
-1.703000e-02,-0.00478906
-1.702000e-02,-0.0046625
-1.701000e-02,-0.00449844
-1.700000e-02,-0.00484375
-1.699000e-02,-0.00473906
-1.698000e-02,-0.00462344
-1.697000e-02,-0.00439219
-1.696000e-02,-0.00477969
-1.695000e-02,-0.0047
-1.694000e-02,-0.00472031
-1.693000e-02,-0.00458281
-1.692000e-02,-0.00458125
-1.691000e-02,-0.00471875
-1.690000e-02,-0.00465938
-1.689000e-02,-0.00470781
-1.688000e-02,-0.00465625
-1.687000e-02,-0.00467969
-1.686000e-02,-0.00479219
-1.685000e-02,-0.00452813
-1.684000e-02,-0.00468125
-1.683000e-02,-0.004825
-1.682000e-02,-0.00469219
-1.681000e-02,-0.00463125
-1.680000e-02,-0.0046625
-1.679000e-02,-0.00478281
-1.678000e-02,-0.004725
-1.677000e-02,-0.00478438
-1.676000e-02,-0.00464375
-1.675000e-02,-0.00486406
-1.674000e-02,-0.00472656
-1.673000e-02,-0.00459063
-1.672000e-02,-0.00467031
-1.671000e-02,-0.00458906
-1.670000e-02,-0.00464531
-1.669000e-02,-0.00479219
-1.668000e-02,-0.00457187
-1.667000e-02,-0.00476875
-1.666000e-02,-0.00485938
-1.665000e-02,-0.00466406
-1.664000e-02,-0.00463906
-1.663000e-02,-0.0046875
-1.662000e-02,-0.00469219
-1.661000e-02,-0.00481563
-1.660000e-02,-0.00469844
-1.659000e-02,-0.00467813
-1.658000e-02,-0.00451562
-1.657000e-02,-0.00477969
-1.656000e-02,-0.00462969
-1.655000e-02,-0.00478438
-1.654000e-02,-0.00466094
-1.653000e-02,-0.00457969
-1.652000e-02,-0.00467344
-1.651000e-02,-0.00445938
-1.650000e-02,-0.00467969
-1.649000e-02,-0.00471875
-1.648000e-02,-0.00470469
-1.647000e-02,-0.00482969
-1.646000e-02,-0.00468281
-1.645000e-02,-0.00457812
-1.644000e-02,-0.00460469
-1.643000e-02,-0.00470938
-1.642000e-02,-0.00451875
-1.641000e-02,-0.00469687
-1.640000e-02,-0.00471563
-1.639000e-02,-0.00462969
-1.638000e-02,-0.004625
-1.637000e-02,-0.00469844
-1.636000e-02,-0.0046625
-1.635000e-02,-0.0045
-1.634000e-02,-0.0047625
-1.633000e-02,-0.0046
-1.632000e-02,-0.00457812
-1.631000e-02,-0.00460781
-1.630000e-02,-0.00478594
-1.629000e-02,-0.00476406
-1.628000e-02,-0.00457812
-1.627000e-02,-0.00460781
-1.626000e-02,-0.00473281
-1.625000e-02,-0.00454844
-1.624000e-02,-0.00479531
-1.623000e-02,-0.00470781
-1.622000e-02,-0.00464062
-1.621000e-02,-0.00456719
-1.620000e-02,-0.00474844
-1.619000e-02,-0.00481719
-1.618000e-02,-0.0047625
-1.617000e-02,-0.00479063
-1.616000e-02,-0.00466094
-1.615000e-02,-0.00474844
-1.614000e-02,-0.00477188
-1.613000e-02,-0.00464375
-1.612000e-02,-0.00473594
-1.611000e-02,-0.00483594
-1.610000e-02,-0.00474844
-1.609000e-02,-0.00458281
-1.608000e-02,-0.00462969
-1.607000e-02,-0.00468125
-1.606000e-02,-0.00484531
-1.605000e-02,-0.00478906
-1.604000e-02,-0.00475156
-1.603000e-02,-0.00459063
-1.602000e-02,-0.00454531
-1.601000e-02,-0.0047625
-1.600000e-02,-0.00451094
-1.599000e-02,-0.00474219
-1.598000e-02,-0.00470312
-1.597000e-02,-0.00473594
-1.596000e-02,-0.00470625
-1.595000e-02,-0.00474844
-1.594000e-02,-0.00467188
-1.593000e-02,-0.00463281
-1.592000e-02,-0.00475625
-1.591000e-02,-0.00476406
-1.590000e-02,-0.00474531
-1.589000e-02,-0.00477031
-1.588000e-02,-0.004575
-1.587000e-02,-0.00474219
-1.586000e-02,-0.00461406
-1.585000e-02,-0.00455469
-1.584000e-02,-0.00475937
-1.583000e-02,-0.00474063
-1.582000e-02,-0.00470781
-1.581000e-02,-0.00472188
-1.580000e-02,-0.00477656
-1.579000e-02,-0.00449688
-1.578000e-02,-0.00473438
-1.577000e-02,-0.00457812
-1.576000e-02,-0.00472656
-1.575000e-02,-0.00470312
-1.574000e-02,-0.00461875
-1.573000e-02,-0.00458594
-1.572000e-02,-0.00477969
-1.571000e-02,-0.00476094
-1.570000e-02,-0.00472031
