NaCl,,Be Pd,,,Cd Ga2 Se4,,
2θ - °,Intensity - cps,2θ - °,Y,Intensity - cps,2θ - °,Y,Intensity - cps
19.27,6613.3,,,,,,
19.28,6520,,,,,,
19.29,6533.3,,,,,,
19.3,6626.7,,,,,,
19.31,6533.3,,,,,,
19.32,6480,,,,,,
19.33,6680,,,,,,
19.34,6786.7,,,,,,
19.35,6613.3,,,,,,
19.36,6680,,,,,,
19.37,6493.3,,,,,,
19.38,6360,,,,,,
19.39,6800,,,,,,
19.4,6813.3,,,,,,
19.41,6240,,,,,,
19.42,6200,,,,,,
19.43,6413.3,,,,,,
19.44,6573.3,,,,,,
19.45,6586.7,,,,,,
19.46,6160,,,,,,
19.47,6320,,,,,,
19.48,6440,,,,,,
19.49,6680,,,,,,
19.5,6893.3,,,,,,
19.51,6453.3,,,,,,
19.52,6333.3,,,,,,
19.53,6613.3,,,,,,
19.54,6373.3,,,,,,
19.55,6240,,,,,,
19.56,6400,,,,,,
19.57,6680,,,,,,
19.58,6720,,,,,,
19.59,6613.3,,,,,,
19.6,6653.3,,,,,,
19.61,6866.7,,,,,,
19.62,6600,,,,,,
19.63,6760,,,,,,
19.64,6600,,,,,,
19.65,6386.7,,,,,,
19.66,6373.3,,,,,,
19.67,6706.7,,,,,,
19.68,6306.7,,,,,,
19.69,6693.3,,,,,,
19.7,7173.3,,,,,,
19.71,6520,,,,,,
19.72,6320,,,,,,
19.73,6680,,,,,,
19.74,6360,,,,,,
19.75,6333.3,,,,,,
19.76,6720,,,,,,
19.77,6586.7,,,,,,
19.78,6466.7,,,,,,
19.79,6480,,,,,,
19.8,6693.3,,,,,,
19.81,6506.7,,,,,,
19.82,6426.7,,,,,,
19.83,6586.7,,,,,,
19.84,6440,,,,,,
19.85,6706.7,,,,,,
19.86,6520,,,,,,
19.87,6346.7,,,,,,
19.88,6653.3,,,,,,
19.89,6600,,,,,,
19.9,6453.3,,,,,,
19.91,6666.7,,,,,,
19.92,6893.3,,,,,,
19.93,6680,,,,,,
19.94,6746.7,,,,,,
19.95,6173.3,,,,,,
19.96,6320,,,,,,
19.97,6613.3,,,,,,
19.98,6626.7,,,,,,
19.99,6413.3,,,,,,
20,6520,,,,,,
20.01,6560,,,,,,
20.02,6240,,,,,,
20.03,6440,,,,,,
20.04,6533.3,,,,,,
20.05,6426.7,,,,,,
20.06,5986.7,,,,,,
20.07,6333.3,,,,,,
20.08,6440,,,,,,
20.09,6400,,,,,,
20.1,5853.3,,,,,,
20.11,6266.7,,,,,,
20.12,6200,,,,,,
20.13,6773.3,,,,,,
20.14,6906.7,,,,,,
20.15,6760,,,,,,
20.16,6373.3,,,,,,
20.17,6106.7,,,,,,
20.18,6120,,,,,,
20.19,6293.3,,,,,,
20.2,6280,,,,,,
20.21,6186.7,,,,,,
20.22,6226.7,,,,,,
20.23,6413.3,,,,,,
20.24,6493.3,,,,,,
20.25,7026.7,,,,,,
20.26,6733.3,,,,,,
20.27,6666.7,,,,,,
20.28,6613.3,,,,,,
20.29,6333.3,,,,,,
20.3,6706.7,,,,,,
20.31,6493.3,,,,,,
20.32,6400,,,,,,
20.33,6546.7,,,,,,
20.34,6973.3,,,,,,
20.35,6693.3,,,,,,
20.36,6280,,,,,,
20.37,6413.3,,,,,,
20.38,6506.7,,,,,,
20.39,6280,,,,,,
20.4,6453.3,,,,,,
20.41,6466.7,,,,,,
20.42,6160,,,,,,
20.43,6293.3,,,,,,
20.44,6386.7,,,,,,
20.45,6573.3,,,,,,
20.46,6280,,,,,,
20.47,5893.3,,,,,,
20.48,6120,,,,,,
20.49,6826.7,,,,,,
20.5,6386.7,,,,,,
20.51,6706.7,,,,,,
20.52,6666.7,,,,,,
20.53,6560,,,,,,
20.54,6786.7,,,,,,
20.55,6533.3,,,,,,
20.56,6400,,,,,,
20.57,6546.7,,,,,,
20.58,6493.3,,,,,,
20.59,6386.7,,,,,,
20.6,6093.3,,,,,,
20.61,6093.3,,,,,,
20.62,6546.7,,,,,,
20.63,6306.7,,,,,,
20.64,6066.7,,,,,,
20.65,6133.3,,,,,,
20.66,6093.3,,,,,,
20.67,6333.3,,,,,,
20.68,6266.7,,,,,,
20.69,6386.7,,,,,,
20.7,6733.3,,,,,,
20.71,6640,,,,,,
20.72,6573.3,,,,,,
20.73,6586.7,,,,,,
20.74,5906.7,,,,,,
20.75,6226.7,,,,,,
20.76,6293.3,,,,,,
20.77,6186.7,,,,,,
20.78,6360,,,,,,
20.79,6293.3,,,,,,
20.8,6160,,,,,,
20.81,6066.7,,,,,,
20.82,6040,,,,,,
20.83,6386.7,,,,,,
20.84,6440,,,,,,
20.85,6280,,,,,,
20.86,6333.3,,,,,,
20.87,6573.3,,,,,,
20.88,6786.7,,,,,,
20.89,6280,,,,,,
20.9,6413.3,,,,,,
20.91,6680,,,,,,
20.92,6493.3,,,,,,
20.93,6493.3,,,,,,
20.94,6920,,,,,,
20.95,6720,,,,,,
20.96,6413.3,,,,,,
20.97,6293.3,,,,,,
20.98,6453.3,,,,,,
20.99,6480,,,,,,
21,6386.7,,,,,,
21.01,6360,,,,,,
21.02,6213.3,,,,,,
21.03,6093.3,,,,,,
21.04,6693.3,,,,,,
21.05,6400,,,,,,
21.06,6346.7,,,,,,
21.07,6520,,,,,,
21.08,6560,,,,,,
21.09,6160,,,,,,
21.1,6440,,,,,,
21.11,6546.7,,,,,,
21.12,6413.3,,,,,,
21.13,6066.7,,,,,,
21.14,6333.3,,,,,,
21.15,6746.7,,,,,,
21.16,6440,,,,,,
21.17,6186.7,,,,,,
21.18,6266.7,,,,,,
21.19,6546.7,,,,,,
21.2,6626.7,,,,,,
21.21,6680,,,,,,
21.22,6613.3,,,,,,
21.23,6613.3,,,,,,
21.24,6373.3,,,,,,
21.25,6373.3,,,,,,
21.26,6493.3,,,,,,
21.27,7013.3,,,,,,
21.28,6560,,,,,,
21.29,6506.7,,,,,,
21.3,6546.7,,,,,,
21.31,5906.7,,,,,,
21.32,6053.3,,,,,,
21.33,6213.3,,,,,,
21.34,6573.3,,,,,,
21.35,6533.3,,,,,,
21.36,6373.3,,,,,,
21.37,5840,,,,,,
21.38,5866.7,,,,,,
21.39,6173.3,,,,,,
21.4,6240,,,,,,
21.41,6600,,,,,,
21.42,6493.3,,,,,,
21.43,6400,,,,,,
21.44,6573.3,,,,,,
21.45,6520,,,,,,
21.46,6546.7,,,,,,
21.47,6706.7,,,,,,
21.48,6706.7,,,,,,
21.49,6226.7,,,,,,
21.5,6360,,,,,,
21.51,6226.7,,,,,,
21.52,6173.3,,,,,,
21.53,6080,,,,,,
21.54,6186.7,,,,,,
21.55,6440,,,,,,
21.56,5946.7,,,,,,
21.57,6360,,,,,,
21.58,6333.3,,,,,,
21.59,6453.3,,,,,,
21.6,6200,,,,,,
21.61,6133.3,,,,,,
21.62,6413.3,,,,,,
21.63,6106.7,,,,,,
21.64,6120,,,,,,
21.65,6213.3,,,,,,
21.66,5946.7,,,,,,
21.67,6146.7,,,,,,
21.68,6440,,,,,,
21.69,6386.7,,,,,,
21.7,6573.3,,,,,,
21.71,6706.7,,,,,,
21.72,6106.7,,,,,,
21.73,6200,,,,,,
21.74,6080,,,,,,
21.75,6266.7,,,,,,
21.76,5920,,,,,,
21.77,5773.3,,,,,,
21.78,6066.7,,,,,,
21.79,6186.7,,,,,,
21.8,6053.3,,,,,,
21.81,6186.7,,,,,,
21.82,6186.7,,,,,,
21.83,6106.7,,,,,,
21.84,6200,,,,,,
21.85,6546.7,,,,,,
21.86,6160,,,,,,
21.87,6200,,,,,,
21.88,6040,,,,,,
21.89,6186.7,,,,,,
21.9,6360,,,,,,
21.91,6173.3,,,,,,
21.92,6346.7,,,,,,
21.93,6346.7,,,,,,
21.94,6360,,,,,,
21.95,6360,,,,,,
21.96,6440,,,,,,
21.97,5973.3,,,,,,
21.98,6266.7,,,,,,
21.99,6093.3,,,,,,
22,6226.7,,,,,,
22.01,6400,,,,,,
22.02,6320,,,,,,
22.03,5786.7,,,,,,
22.04,6066.7,,,,,,
22.05,6466.7,,,,,,
22.06,6120,,,,,,
22.07,5946.7,,,,,,
22.08,6080,,,,,,
22.09,6373.3,,,,,,
22.1,5880,,,,,,
22.11,6066.7,,,,,,
22.12,6360,,,,,,
22.13,6373.3,,,,,,
22.14,6026.7,,,,,,
22.15,6053.3,,,,,,
22.16,6013.3,,,,,,
22.17,6213.3,,,,,,
22.18,6106.7,,,,,,
22.19,5986.7,,,,,,
22.2,6226.7,,,,,,
22.21,6293.3,,,,,,
22.22,6013.3,,,,,,
22.23,6240,,,,,,
22.24,6386.7,,,,,,
22.25,6253.3,,,,,,
22.26,5946.7,,,,,,
22.27,6266.7,,,,,,
22.28,6160,,,,,,
22.29,6026.7,,,,,,
22.3,6053.3,,,,,,
22.31,6626.7,,,,,,
22.32,6266.7,,,,,,
22.33,5973.3,,,,,,
22.34,6053.3,,,,,,
22.35,5946.7,,,,,,
22.36,6053.3,,,,,,
22.37,6640,,,,,,
22.38,6413.3,,,,,,
22.39,6560,,,,,,
22.4,6840,,,,,,
22.41,6693.3,,,,,,
22.42,6360,,,,,,
22.43,6093.3,,,,,,
22.44,6093.3,,,,,,
22.45,5853.3,,,,,,
22.46,6426.7,,,,,,
22.47,6360,,,,,,
22.48,6146.7,,,,,,
22.49,5866.7,,,,,,
22.5,5600,,,,,,
22.51,5973.3,,,,,,
22.52,5693.3,,,,,,
22.53,5760,,,,,,
22.54,5826.7,,,,,,
22.55,5973.3,,,,,,
22.56,6200,,,,,,
22.57,6266.7,,,,,,
22.58,6400,,,,,,
22.59,6146.7,,,,,,
22.6,5720,,,,,,
22.61,5733.3,,,,,,
22.62,6200,,,,,,
22.63,6186.7,,,,,,
22.64,6280,,,,,,
22.65,5773.3,,,,,,
22.66,5840,,,,,,
22.67,6226.7,,,,,,
22.68,5893.3,,,,,,
22.69,5933.3,,,,,,
22.7,5933.3,,,,,,
22.71,5613.3,,,,,,
22.72,5600,,,,,,
22.73,6173.3,,,,,,
22.74,6026.7,,,,,,
22.75,5866.7,,,,,,
22.76,5800,,,,,,
22.77,6000,,,,,,
22.78,6146.7,,,,,,
22.79,5840,,,,,,
22.8,5933.3,,,,,,
22.81,6013.3,,,,,,
22.82,6000,,,,,,
22.83,6026.7,,,,,,
22.84,6026.7,,,,,,
22.85,6000,,,,,,
22.86,5880,,,,,,
22.87,6026.7,,,,,,
22.88,5946.7,,,,,,
22.89,6040,,,,,,
22.9,5906.7,,,,,,
22.91,6053.3,,,,,,
22.92,6120,,,,,,
22.93,6000,,,,,,
22.94,6026.7,,,,,,
22.95,5880,,,,,,
22.96,5706.7,,,,,,
22.97,5773.3,,,,,,
22.98,5640,,,,,,
22.99,5893.3,,,,,,
23,5640,,,,,,
23.01,5986.7,,,,,,
23.02,6080,,,,,,
23.03,5746.7,,,,,,
23.04,6026.7,,,,,,
23.05,6253.3,,,,,,
23.06,5720,,,,,,
23.07,5773.3,,,,,,
23.08,6160,,,,,,
23.09,6000,,,,,,
23.1,5826.7,,,,,,
23.11,5853.3,,,,,,
23.12,6026.7,,,,,,
23.13,5786.7,,,,,,
23.14,5826.7,,,,,,
23.15,6226.7,,,,,,
23.16,5693.3,,,,,,
23.17,5466.7,,,,,,
23.18,5733.3,,,,,,
23.19,6306.7,,,,,,
23.2,5920,,,,,,
23.21,6186.7,,,,,,
23.22,5906.7,,,,,,
23.23,5560,,,,,,
23.24,6106.7,,,,,,
23.25,5866.7,,,,,,
23.26,6040,,,,,,
23.27,5840,,,,,,
23.28,5760,,,,,,
23.29,5720,,,,,,
23.3,5800,,,,,,
23.31,5800,,,,,,
23.32,5640,,,,,,
23.33,5600,,,,,,
23.34,5866.7,,,,,,
23.35,5813.3,,,,,,
23.36,5533.3,,,,,,
23.37,5560,,,,,,
23.38,5840,,,,,,
23.39,5880,,,,,,
23.4,5906.7,,,,,,
23.41,5706.7,,,,,,
23.42,5706.7,,,,,,
23.43,5733.3,,,,,,
23.44,6200,,,,,,
23.45,6333.3,,,,,,
23.46,6080,,,,,,
23.47,5666.7,,,,,,
23.48,5600,,,,,,
23.49,5560,,,,,,
23.5,5720,,,,,,
23.51,5773.3,,,,,,
23.52,5826.7,,,,,,
23.53,5560,,,,,,
23.54,5386.7,,,,,,
23.55,5773.3,,,,,,
23.56,6093.3,,,,,,
23.57,5973.3,,,,,,
23.58,6040,,,,,,
23.59,5826.7,,,,,,
23.6,5720,,,,,,
23.61,5693.3,,,,,,
23.62,6000,,,,,,
23.63,5746.7,,,,,,
23.64,5626.7,,,,,,
23.65,5733.3,,,,,,
23.66,5800,,,,,,
23.67,5466.7,,,,,,
23.68,5546.7,,,,,,
23.69,5520,,,,,,
23.7,5853.3,,,,,,
23.71,6240,,,,,,
23.72,5946.7,,,,,,
23.73,5520,,,,,,
23.74,5666.7,,,,,,
23.75,5626.7,,,,,,
23.76,5573.3,,,,,,
23.77,5360,,,,,,
23.78,5586.7,,,,,,
23.79,5813.3,,,,,,
23.8,5400,,,,,,
23.81,5373.3,,,,,,
23.82,5880,,,,,,
23.83,5760,,,,,,
23.84,5653.3,,,,,,
23.85,5666.7,,,,,,
23.86,5680,,,,,,
23.87,5573.3,,,,,,
23.88,5520,,,,,,
23.89,5546.7,,,,,,
23.9,5893.3,,,,,,
23.91,5720,,,,,,
23.92,5333.3,,,,,,
23.93,5613.3,,,,,,
23.94,5533.3,,,,,,
23.95,5560,,,,,,
23.96,5466.7,,,,,,
23.97,5480,,,,,,
23.98,5680,,,,,,
23.99,5906.7,,,,,,
24,5533.3,,,,,,
24.01,5440,,,,,,
24.02,5800,,,,,,
24.03,5906.7,,,,,,
24.04,6000,,,,,,
24.05,5786.7,,,,,,
24.06,5600,,,,,,
24.07,5506.7,,,,,,
24.08,5533.3,,,,,,
24.09,5733.3,,,,,,
24.1,5546.7,,,,,,
24.11,5773.3,,,,,,
24.12,5720,,,,,,
24.13,5546.7,,,,,,
24.14,5640,,,,,,
24.15,5733.3,,,,,,
24.16,5946.7,,,,,,
24.17,5813.3,,,,,,
24.18,5746.7,,,,,,
24.19,5453.3,,,,,,
24.2,5693.3,,,,,,
24.21,5680,,,,,,
24.22,5573.3,,,,,,
24.23,5680,,,,,,
24.24,5453.3,,,,,,
24.25,5373.3,,,,,,
24.26,5680,,,,,,
24.27,5213.3,,,,,,
24.28,5586.7,,,,,,
24.29,5346.7,,,,,,
24.3,5293.3,,,,,,
24.31,5400,,,,,,
24.32,5666.7,,,,,,
24.33,5733.3,,,,,,
24.34,5586.7,,,,,,
24.35,5973.3,,,,,,
24.36,5973.3,,,,,,
24.37,5733.3,,,,,,
24.38,5493.3,,,,,,
24.39,5666.7,,,,,,
24.4,5746.7,,,,,,
24.41,5680,,,,,,
24.42,5520,,,,,,
24.43,5480,,,,,,
24.44,5640,,,,,,
24.45,5400,,,,,,
24.46,5480,,,,,,
24.47,5453.3,,,,,,
24.48,5480,,,,,,
24.49,5720,,,,,,
24.5,5426.7,,,,,,
24.51,5413.3,,,,,,
24.52,5626.7,,,,,,
24.53,5520,,,,,,
24.54,5586.7,,,,,,
24.55,5773.3,,,,,,
24.56,5520,,,,,,
24.57,5253.3,,,,,,
24.58,5373.3,,,,,,
24.59,5506.7,,,,,,
24.6,5400,,,,,,
24.61,5306.7,,,,,,
24.62,5186.7,,,,,,
24.63,5386.7,,,,,,
24.64,5560,,,,,,
24.65,5480,,,,,,
24.66,5306.7,,,,,,
24.67,5266.7,,,,,,
24.68,5506.7,,,,,,
24.69,5626.7,,,,,,
24.7,5386.7,,,,,,
24.71,5186.7,,,,,,
24.72,5360,,,,,,
24.73,5533.3,,,,,,
24.74,5266.7,,,,,,
24.75,5453.3,,,,,,
24.76,5586.7,,,,,,
24.77,5586.7,,,,,,
24.78,5173.3,,,,,,
24.79,5253.3,,,,,,
24.8,5426.7,,,,,,
24.81,5666.7,,,,,,
24.82,5453.3,,,,,,
24.83,5466.7,,,,,,
24.84,5360,,,,,,
24.85,5386.7,,,,,,
24.86,5160,,,,,,
24.87,5120,,,,,,
24.88,5440,,,,,,
24.89,5733.3,,,,,,
24.9,5226.7,,,,,,
24.91,5466.7,,,,,,
24.92,5600,,,,,,
24.93,5493.3,,,,,,
24.94,5146.7,,,,,,
24.95,5546.7,,,,,,
24.96,5506.7,,,,,,
24.97,4986.7,,,,,,
24.98,5146.7,,,,,,
24.99,5293.3,,,,,,
25,5026.7,,,,,,
25.01,4880,,,,,,
25.02,5133.3,,,,,,
25.03,5106.7,,,,,,
25.04,5000,,,,,,
25.05,5226.7,,,,,,
25.06,5106.7,,,,,,
25.07,5466.7,,,,,,
25.08,5880,,,,,,
25.09,5320,,,,,,
25.1,5400,,,,,,
25.11,5333.3,,,,,,
25.12,5400,,,,,,
25.13,5893.3,,,,,,
25.14,5506.7,,,,,,
25.15,5240,,,,,,
25.16,5000,,,,,,
25.17,4920,,,,,,
25.18,5293.3,,,,,,
25.19,5066.7,,,,,,
25.2,5333.3,,,,,,
25.21,5120,,,,,,
25.22,5386.7,,,,,,
25.23,5440,,,,,,
25.24,5120,,,,,,
25.25,5226.7,,,,,,
25.26,5080,,,,,,
25.27,4960,,,,,,
25.28,5240,,,,,,
25.29,5253.3,,,,,,
25.3,5493.3,,,,,,
25.31,5453.3,,,,,,
25.32,5213.3,,,,,,
25.33,4840,,,,,,
25.34,4800,,,,,,
25.35,4613.3,,,,,,
25.36,5080,,,,,,
25.37,5413.3,,,,,,
25.38,5440,,,,,,
25.39,5480,,,,,,
25.4,5266.7,,,,,,
25.41,5266.7,,,,,,
25.42,4973.3,,,,,,
25.43,4893.3,,,,,,
25.44,4906.7,,,,,,
25.45,5080,,,,,,
25.46,5360,,,,,,
25.47,5026.7,,,,,,
25.48,4920,,,,,,
25.49,5306.7,,,,,,
25.5,5373.3,,,,,,
25.51,5333.3,,,,,,
25.52,5200,,,,,,
25.53,5506.7,,,,,,
25.54,5386.7,,,,,,
25.55,5333.3,,,,,,
25.56,5320,,,,,,
25.57,5133.3,,,,,,
25.58,5226.7,,,,,,
25.59,5333.3,,,,,,
25.6,5106.7,,,,,,
25.61,5186.7,,,,,,
25.62,5320,,,,,,
25.63,5106.7,,,,,,
25.64,5160,,,,,,
25.65,5213.3,,,,,,
25.66,5106.7,,,,,,
25.67,5226.7,,,,,,
25.68,5066.7,,,,,,
25.69,5040,,,,,,
25.7,5093.3,,,,,,
25.71,5133.3,,,,,,
25.72,5360,,,,,,
25.73,5333.3,,,,,,
25.74,5200,,,,,,
25.75,5160,,,,,,
25.76,5026.7,,,,,,
25.77,4693.3,,,,,,
25.78,5186.7,,,,,,
25.79,5013.3,,,,,,
25.8,4840,,,,,,
25.81,4933.3,,,,,,
25.82,5106.7,,,,,,
25.83,5133.3,,,,,,
25.84,5146.7,,,,,,
25.85,5066.7,,,,,,
25.86,5120,,,,,,
25.87,4880,,,,,,
25.88,4733.3,,,,,,
25.89,4840,,,,,,
25.9,5253.3,,,,,,
25.91,5106.7,,,,,,
25.92,4973.3,,,,,,
25.93,5000,,,,,,
25.94,5293.3,,,,,,
25.95,5253.3,,,,,,
25.96,5306.7,,,,,,
25.97,4960,,,,,,
25.98,4506.7,,,,,,
25.99,5173.3,,,,,,
26,4920,,,,,,
26.01,4773.3,,,,,,
26.02,5373.3,,,,,,
26.03,5253.3,,,,,,
26.04,4786.7,,,,,,
26.05,4680,,,,,,
26.06,4813.3,,,,,,
26.07,5066.7,,,,,,
26.08,5040,,,,,,
26.09,4840,,,,,,
26.1,4693.3,,,,,,
26.11,5000,,,,,,
26.12,5080,,,,,,
26.13,4906.7,,,,,,
26.14,5226.7,,,,,,
26.15,5146.7,,,,,,
26.16,4986.7,,,,,,
26.17,5066.7,,,,,,
26.18,5106.7,,,,,,
26.19,4946.7,,,,,,
26.2,4853.3,,,,,,
26.21,4946.7,,,,,,
26.22,4813.3,,,,,,
26.23,4920,,,,,,
26.24,5266.7,,,,,,
26.25,4773.3,,,,,,
26.26,4866.7,,,,,,
26.27,4933.3,,,,,,
26.28,4986.7,,,,,,
26.29,4866.7,,,,,,
26.3,4840,,,,,,
26.31,4840,,,,,,
26.32,4760,,,,,,
26.33,4760,,,,,,
26.34,4546.7,,,,,,
26.35,4853.3,,,,,,
26.36,4960,,,,,,
26.37,4600,,,,,,
26.38,4640,,,,,,
26.39,5146.7,,,,,,
26.4,5066.7,,,,,,
26.41,4466.7,,,,,,
26.42,5133.3,,,,,,
26.43,5066.7,,,,,,
26.44,4746.7,,,,,,
26.45,4640,,,,,,
26.46,4853.3,,,,,,
26.47,4973.3,,,,,,
26.48,5226.7,,,,,,
26.49,5160,,,,,,
26.5,5053.3,,,,,,
26.51,4933.3,,,,,,
26.52,4920,,,,,,
26.53,4893.3,,,,,,
26.54,4933.3,,,,,,
26.55,4906.7,,,,,,
26.56,4906.7,,,,,,
26.57,4893.3,,,,,,
26.58,5146.7,,,,,,
26.59,4933.3,,,,,,
26.6,4813.3,,,,,,
26.61,4600,,,,,,
26.62,4946.7,,,,,,
26.63,5133.3,,,,,,
26.64,5386.7,,,,,,
26.65,5266.7,,,,,,
26.66,5040,,,,,,
26.67,4800,,,,,,
26.68,4906.7,,,,,,
26.69,5120,,,,,,
26.7,4680,,,,,,
26.71,4773.3,,,,,,
26.72,5053.3,,,,,,
26.73,5000,,,,,,
26.74,5160,,,,,,
26.75,5440,,,,,,
26.76,5506.7,,,,,,
26.77,4973.3,,,,,,
26.78,4920,,,,,,
26.79,5213.3,,,,,,
26.8,5053.3,,,,,,
26.81,4853.3,,,,,,
26.82,5040,,,,,,
26.83,5000,,,,,,
26.84,4706.7,,,,,,
26.85,4720,,,,,,
26.86,4986.7,,,,,,
26.87,5040,,,,,,
26.88,4920,,,,,,
26.89,4786.7,,,,,,
26.9,4800,,,,,,
26.91,4773.3,,,,,,
26.92,4746.7,,,,,,
26.93,5040,,,,,,
26.94,5040,,,,,,
26.95,5200,,,,,,
26.96,4960,,,,,,
26.97,4680,,,,,,
26.98,4653.3,,,,,,
26.99,4880,,,,,,
27,4973.3,,,,,,
27.01,4960,,,,,,
27.02,4653.3,,,,,,
27.03,4680,,,,,,
27.04,4746.7,,,,,,
27.05,4986.7,,,,,,
27.06,4960,,,,,,
27.07,4773.3,,,,,,
27.08,4666.7,,,,,,
27.09,4920,,,,,,
27.1,4773.3,,,,,,
27.11,4706.7,,,,,,
27.12,4706.7,,,,,,
27.13,4653.3,,,,,,
27.14,4386.7,,,,,,
27.15,4506.7,,,,,,
27.16,4866.7,,,,,,
27.17,5026.7,,,,,,
27.18,4920,,,,,,
27.19,4946.7,,,,,,
27.2,4693.3,,,,,,
27.21,4546.7,,,,,,
27.22,4920,,,,,,
27.23,4640,,,,,,
27.24,4493.3,,,,,,
27.25,4413.3,,,,,,
27.26,4893.3,,,,,,
27.27,5040,,,,,,
27.28,5506.7,,,,,,
27.29,5120,,,,,,
27.3,5373.3,,,,,,
27.31,5666.7,,,,,,
27.32,6320,,,,,,
27.33,5986.7,,,,,,
27.34,6106.7,,,,,,
27.35,6800,,,,,,
27.36,6933.3,,,,,,
27.37,7266.7,,,,,,
27.38,7693.3,,,,,,
27.39,8080,,,,,,
27.4,8306.7,,,,,,
27.41,8493.3,,,,,,
27.42,8773.3,,,,,,
27.43,9333.3,,,,,,
27.44,9826.7,,,,,,
27.45,10453,,,,,,
27.46,10547,,,,,,
27.47,10613,,,,,,
27.48,11333,,,,,,
27.49,11080,,,,,,
27.5,10787,,,,,,
27.51,10560,,,,,,
27.52,11027,,,,,,
27.53,10640,,,,,,
27.54,10080,,,,,,
27.55,9533.3,,,,,,
27.56,9013.3,,,,,,
27.57,8786.7,,,,,,
27.58,8266.7,,,,,,
27.59,8000,,,,,,
27.6,7400,,,,,,
27.61,7720,,,,,,
27.62,7666.7,,,,,,
27.63,6933.3,,,,,,
27.64,6813.3,,,,,,
27.65,6706.7,,,,,,
27.66,6266.7,,,,,,
27.67,6040,,,,,,
27.68,5733.3,,,,,,
27.69,5920,,,,,,
27.7,5666.7,,,,,,
27.71,5186.7,,,,,,
27.72,5480,,,,,,
27.73,5280,,,,,,
27.74,4906.7,,,,,,
27.75,4493.3,,,,,,
27.76,4906.7,,,,,,
27.77,4853.3,,,,,,
27.78,4613.3,,,,,,
27.79,4626.7,,,,,,
27.8,4800,,,,,,
27.81,4946.7,,,,,,
27.82,5120,,,,,,
27.83,4960,,,,,,
27.84,4773.3,,,,,,
27.85,4826.7,,,,,,
27.86,4986.7,,,,,,
27.87,4680,,,,,,
27.88,4840,,,,,,
27.89,4866.7,,,,,,
27.9,4573.3,,,,,,
27.91,4480,,,,,,
27.92,4533.3,,,,,,
27.93,4960,,,,,,
27.94,4760,,,,,,
27.95,4386.7,,,,,,
27.96,4960,,,,,,
27.97,4826.7,,,,,,
27.98,4920,,,,,,
27.99,4626.7,,,,,,
28,4613.3,,,,,,
28.01,4920,,,,,,
28.02,4666.7,,,,,,
28.03,4613.3,,,,,,
28.04,4693.3,,,,,,
28.05,4746.7,,,,,,
28.06,4746.7,,,,,,
28.07,4640,,,,,,
28.08,4600,,,,,,
28.09,4506.7,,,,,,
28.1,4653.3,,,,,,
28.11,4613.3,,,,,,
28.12,4506.7,,,,,,
28.13,4600,,,,,,
28.14,4413.3,,,,,,
28.15,4626.7,,,,,,
28.16,5000,,,,,,
28.17,4586.7,,,,,,
28.18,4520,,,,,,
28.19,4613.3,,,,,,
28.2,4720,,,,,,
28.21,4813.3,,,,,,
28.22,4746.7,,,,,,
28.23,4586.7,,,,,,
28.24,4640,,,,,,
28.25,4893.3,,,,,,
28.26,4560,,,,,,
28.27,4600,,,,,,
28.28,4680,,,,,,
28.29,4720,,,,,,
28.3,4773.3,,,,,,
28.31,4800,,,,,,
28.32,4653.3,,,,,,
28.33,4693.3,,,,,,
28.34,4680,,,,,,
28.35,4826.7,,,,,,
28.36,4600,,,,,,
28.37,4653.3,,,,,,
28.38,4560,,,,,,
28.39,4693.3,,,,,,
28.4,4786.7,,,,,,
28.41,4333.3,,,,,,
28.42,4293.3,,,,,,
28.43,4573.3,,,,,,
28.44,4640,,,,,,
28.45,4786.7,,,,,,
28.46,4466.7,,,,,,
28.47,4426.7,,,,,,
28.48,4666.7,,,,,,
28.49,4266.7,,,,,,
28.5,4106.7,,,,,,
28.51,4773.3,,,,,,
28.52,4480,,,,,,
28.53,4613.3,,,,,,
28.54,4746.7,,,,,,
28.55,4506.7,,,,,,
28.56,4240,,,,,,
28.57,4466.7,,,,,,
28.58,4733.3,,,,,,
28.59,4440,,,,,,
28.6,4306.7,,,,,,
28.61,4186.7,,,,,,
28.62,4586.7,,,,,,
28.63,4640,,,,,,
28.64,4520,,,,,,
28.65,4440,,,,,,
28.66,4546.7,,,,,,
28.67,4573.3,,,,,,
28.68,4293.3,,,,,,
28.69,4386.7,,,,,,
28.7,4320,,,,,,
28.71,4120,,,,,,
28.72,4466.7,,,,,,
28.73,4653.3,,,,,,
28.74,4560,,,,,,
28.75,4733.3,,,,,,
28.76,4746.7,,,,,,
28.77,4640,,,,,,
28.78,4506.7,,,,,,
28.79,4506.7,,,,,,
28.8,4466.7,,,,,,
28.81,4560,,,,,,
28.82,4600,,,,,,
28.83,4600,,,,,,
28.84,4280,,,,,,
28.85,4400,,,,,,
28.86,4466.7,,,,,,
28.87,4186.7,,,,,,
28.88,4213.3,,,,,,
28.89,4226.7,,,,,,
28.9,4240,,,,,,
28.91,4333.3,,,,,,
28.92,4573.3,,,,,,
28.93,4466.7,,,,,,
28.94,4480,,,,,,
28.95,4480,,,,,,
28.96,4080,,,,,,
28.97,4426.7,,,,,,
28.98,4453.3,,,,,,
28.99,4173.3,,,,,,
29,4573.3,,,,,,
29.01,4573.3,,,,,,
