Model,MDO3052
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0.03
Sample Interval,1e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,-2.7
,
,
,
Label,
TIME,CH1
-2.000000e-02,-0.00481719
-1.999000e-02,-0.00491406
-1.998000e-02,-0.00488906
-1.997000e-02,-0.00487031
-1.996000e-02,-0.00482344
-1.995000e-02,-0.00486875
-1.994000e-02,-0.00485781
-1.993000e-02,-0.00480625
-1.992000e-02,-0.00478594
-1.991000e-02,-0.00489219
-1.990000e-02,-0.00489531
-1.989000e-02,-0.0048625
-1.988000e-02,-0.00486875
-1.987000e-02,-0.00485938
-1.986000e-02,-0.00487969
-1.985000e-02,-0.00481094
-1.984000e-02,-0.00477031
-1.983000e-02,-0.00486406
-1.982000e-02,-0.00484688
-1.981000e-02,-0.00487188
-1.980000e-02,-0.00480156
-1.979000e-02,-0.00484063
-1.978000e-02,-0.00489375
-1.977000e-02,-0.00480313
-1.976000e-02,-0.00486719
-1.975000e-02,-0.00478906
-1.974000e-02,-0.00480938
-1.973000e-02,-0.00489687
-1.972000e-02,-0.00488906
-1.971000e-02,-0.00494844
-1.970000e-02,-0.00477969
-1.969000e-02,-0.00496563
-1.968000e-02,-0.00495781
-1.967000e-02,-0.00489219
-1.966000e-02,-0.00482656
-1.965000e-02,-0.00480625
-1.964000e-02,-0.00494063
-1.963000e-02,-0.00484219
-1.962000e-02,-0.00490313
-1.961000e-02,-0.00490156
-1.960000e-02,-0.00488594
-1.959000e-02,-0.00495781
-1.958000e-02,-0.00482969
-1.957000e-02,-0.00485469
-1.956000e-02,-0.0049
-1.955000e-02,-0.00493906
-1.954000e-02,-0.00482656
-1.953000e-02,-0.00488437
-1.952000e-02,-0.00485156
-1.951000e-02,-0.00486875
-1.950000e-02,-0.00483906
-1.949000e-02,-0.0048625
-1.948000e-02,-0.0049
-1.947000e-02,-0.00487031
-1.946000e-02,-0.00487656
-1.945000e-02,-0.00480156
-1.944000e-02,-0.00487656
-1.943000e-02,-0.00488594
-1.942000e-02,-0.00487188
-1.941000e-02,-0.00491563
-1.940000e-02,-0.004825
-1.939000e-02,-0.00494844
-1.938000e-02,-0.00484531
-1.937000e-02,-0.00489844
-1.936000e-02,-0.00490781
-1.935000e-02,-0.00490781
-1.934000e-02,-0.00484688
-1.933000e-02,-0.00482344
-1.932000e-02,-0.00499844
-1.931000e-02,-0.00486875
-1.930000e-02,-0.00483437
-1.929000e-02,-0.00480625
-1.928000e-02,-0.00485625
-1.927000e-02,-0.00484688
-1.926000e-02,-0.00482969
-1.925000e-02,-0.00481719
-1.924000e-02,-0.00482969
-1.923000e-02,-0.00486406
-1.922000e-02,-0.00476406
-1.921000e-02,-0.00482344
-1.920000e-02,-0.00486719
-1.919000e-02,-0.00487188
-1.918000e-02,-0.00487031
-1.917000e-02,-0.00490469
-1.916000e-02,-0.00489062
-1.915000e-02,-0.00486406
-1.914000e-02,-0.00486094
-1.913000e-02,-0.00492344
-1.912000e-02,-0.00492344
-1.911000e-02,-0.00487188
-1.910000e-02,-0.00489531
-1.909000e-02,-0.00487813
-1.908000e-02,-0.00479844
-1.907000e-02,-0.00479375
-1.906000e-02,-0.00483906
-1.905000e-02,-0.00483906
-1.904000e-02,-0.00485781
-1.903000e-02,-0.00490625
-1.902000e-02,-0.00492656
-1.901000e-02,-0.00488437
-1.900000e-02,-0.00485
-1.899000e-02,-0.00495156
-1.898000e-02,-0.00484844
-1.897000e-02,-0.0048625
-1.896000e-02,-0.00484063
-1.895000e-02,-0.00493594
-1.894000e-02,-0.00483594
-1.893000e-02,-0.00480625
-1.892000e-02,-0.00489687
-1.891000e-02,-0.00492969
-1.890000e-02,-0.00487813
-1.889000e-02,-0.0049125
-1.888000e-02,-0.0049
-1.887000e-02,-0.00488594
-1.886000e-02,-0.00494531
-1.885000e-02,-0.00492344
-1.884000e-02,-0.00486094
-1.883000e-02,-0.00488906
-1.882000e-02,-0.0049
-1.881000e-02,-0.00487188
-1.880000e-02,-0.0048625
-1.879000e-02,-0.00476875
-1.878000e-02,-0.00493906
-1.877000e-02,-0.00468594
-1.876000e-02,-0.004825
-1.875000e-02,-0.00492344
-1.874000e-02,-0.00481094
-1.873000e-02,-0.00480469
-1.872000e-02,-0.00489219
-1.871000e-02,-0.00485781
-1.870000e-02,-0.00479688
-1.869000e-02,-0.0049125
-1.868000e-02,-0.00482969
-1.867000e-02,-0.004875
-1.866000e-02,-0.00499219
-1.865000e-02,-0.00489375
-1.864000e-02,-0.00493281
-1.863000e-02,-0.0048375
-1.862000e-02,-0.00491563
-1.861000e-02,-0.0047875
-1.860000e-02,-0.00485781
-1.859000e-02,-0.00497188
-1.858000e-02,-0.00488906
-1.857000e-02,-0.00486563
-1.856000e-02,-0.0048625
-1.855000e-02,-0.00479063
-1.854000e-02,-0.00485
-1.853000e-02,-0.00481719
-1.852000e-02,-0.00486719
-1.851000e-02,-0.00488906
-1.850000e-02,-0.00491094
-1.849000e-02,-0.00483594
-1.848000e-02,-0.0048625
-1.847000e-02,-0.00488594
-1.846000e-02,-0.00486563
-1.845000e-02,-0.00492656
-1.844000e-02,-0.00479375
-1.843000e-02,-0.00483125
-1.842000e-02,-0.00478594
-1.841000e-02,-0.00484531
-1.840000e-02,-0.004825
-1.839000e-02,-0.00488281
-1.838000e-02,-0.00495156
-1.837000e-02,-0.00487344
-1.836000e-02,-0.00482969
-1.835000e-02,-0.00487813
-1.834000e-02,-0.00483437
-1.833000e-02,-0.00482812
-1.832000e-02,-0.00495625
-1.831000e-02,-0.00484375
-1.830000e-02,-0.00487813
-1.829000e-02,-0.00483437
-1.828000e-02,-0.004875
-1.827000e-02,-0.00484063
-1.826000e-02,-0.00482656
-1.825000e-02,-0.00484375
-1.824000e-02,-0.00481719
-1.823000e-02,-0.00488437
-1.822000e-02,-0.00480625
-1.821000e-02,-0.00484688
-1.820000e-02,-0.00481563
-1.819000e-02,-0.00487188
-1.818000e-02,-0.00490781
-1.817000e-02,-0.0049125
-1.816000e-02,-0.00482187
-1.815000e-02,-0.00482969
-1.814000e-02,-0.00487656
-1.813000e-02,-0.00487188
-1.812000e-02,-0.00489375
-1.811000e-02,-0.00490156
-1.810000e-02,-0.00486875
-1.809000e-02,-0.00487969
-1.808000e-02,-0.00489219
-1.807000e-02,-0.00485625
-1.806000e-02,-0.0048375
-1.805000e-02,-0.00479844
-1.804000e-02,-0.00489062
-1.803000e-02,-0.00489687
-1.802000e-02,-0.00481875
-1.801000e-02,-0.0049
-1.800000e-02,-0.00492188
-1.799000e-02,-0.00481719
-1.798000e-02,-0.00486406
-1.797000e-02,-0.00488594
-1.796000e-02,-0.00481406
-1.795000e-02,-0.0048875
-1.794000e-02,-0.00484375
-1.793000e-02,-0.00490313
-1.792000e-02,-0.00482187
-1.791000e-02,-0.00480625
-1.790000e-02,-0.00487188
-1.789000e-02,-0.0047875
-1.788000e-02,-0.00482031
-1.787000e-02,-0.00487813
-1.786000e-02,-0.00482187
-1.785000e-02,-0.00481719
-1.784000e-02,-0.00481875
-1.783000e-02,-0.00479844
-1.782000e-02,-0.00483125
-1.781000e-02,-0.00489062
-1.780000e-02,-0.00494063
-1.779000e-02,-0.00483594
-1.778000e-02,-0.00486719
-1.777000e-02,-0.00484531
-1.776000e-02,-0.0048625
-1.775000e-02,-0.00484219
-1.774000e-02,-0.00485
-1.773000e-02,-0.00486563
-1.772000e-02,-0.00496875
-1.771000e-02,-0.00487188
-1.770000e-02,-0.00486094
-1.769000e-02,-0.00495469
-1.768000e-02,-0.00487969
-1.767000e-02,-0.00487813
-1.766000e-02,-0.00483437
-1.765000e-02,-0.00491875
-1.764000e-02,-0.00486563
-1.763000e-02,-0.00493594
-1.762000e-02,-0.00495469
-1.761000e-02,-0.0048875
-1.760000e-02,-0.00480469
-1.759000e-02,-0.00487344
-1.758000e-02,-0.00490781
-1.757000e-02,-0.00488906
-1.756000e-02,-0.00487656
-1.755000e-02,-0.00485313
-1.754000e-02,-0.00486094
-1.753000e-02,-0.00479375
-1.752000e-02,-0.00494531
-1.751000e-02,-0.00487813
