Model,MDO3052
Firmware Version,1.2
,
Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0.03
Sample Interval,1.00E-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,-2.48
Vertical Min,-0.0058375
t (ms),#DIV/0!
t1/2 (ms),#DIV/0!
,
,
Label,
TIME (s),CH1 (V)
-2.00E-02,-0.0056375
-2.00E-02,-0.00561406
-2.00E-02,-0.00558906
-2.00E-02,-0.00562344
-2.00E-02,-0.00561875
-2.00E-02,-0.0055875
-1.99E-02,-0.00552812
-1.99E-02,-0.00562344
-1.99E-02,-0.00563906
-1.99E-02,-0.00565312
-1.99E-02,-0.00560156
-1.99E-02,-0.00566094
-1.99E-02,-0.00562969
-1.99E-02,-0.00561406
-1.99E-02,-0.00571719
-1.99E-02,-0.00561719
-1.98E-02,-0.00558125
-1.98E-02,-0.0056625
-1.98E-02,-0.00561719
-1.98E-02,-0.00557188
-1.98E-02,-0.00563594
-1.98E-02,-0.00564844
-1.98E-02,-0.00561094
-1.98E-02,-0.00558125
-1.98E-02,-0.00565625
-1.98E-02,-0.00566094
-1.97E-02,-0.00571875
-1.97E-02,-0.00558281
-1.97E-02,-0.00560937
-1.97E-02,-0.00565781
-1.97E-02,-0.00565625
-1.97E-02,-0.00555625
-1.97E-02,-0.0056125
-1.97E-02,-0.00555156
-1.97E-02,-0.00570156
-1.97E-02,-0.00565312
-1.96E-02,-0.00553125
-1.96E-02,-0.00563281
-1.96E-02,-0.00564844
-1.96E-02,-0.00565781
-1.96E-02,-0.00563125
-1.96E-02,-0.00559062
-1.96E-02,-0.00570781
-1.96E-02,-0.00566719
-1.96E-02,-0.00556875
-1.96E-02,-0.00566719
-1.95E-02,-0.00561406
-1.95E-02,-0.00562344
-1.95E-02,-0.0057125
-1.95E-02,-0.00563281
-1.95E-02,-0.00562656
-1.95E-02,-0.00565781
-1.95E-02,-0.00565156
-1.95E-02,-0.00555625
-1.95E-02,-0.00571406
-1.95E-02,-0.005575
-1.94E-02,-0.0056875
-1.94E-02,-0.00558906
-1.94E-02,-0.00559687
-1.94E-02,-0.00565469
-1.94E-02,-0.00564531
-1.94E-02,-0.00560469
-1.94E-02,-0.00557969
-1.94E-02,-0.00556875
-1.94E-02,-0.00566875
-1.94E-02,-0.00567187
-1.93E-02,-0.0056375
-1.93E-02,-0.00557812
-1.93E-02,-0.00566875
-1.93E-02,-0.00559687
-1.93E-02,-0.00564375
-1.93E-02,-0.00563906
-1.93E-02,-0.00559844
-1.93E-02,-0.00559375
-1.93E-02,-0.00567344
-1.93E-02,-0.00559062
-1.92E-02,-0.00572031
-1.92E-02,-0.00564219
-1.92E-02,-0.0056625
-1.92E-02,-0.005625
-1.92E-02,-0.005675
-1.92E-02,-0.00557188
-1.92E-02,-0.00565
-1.92E-02,-0.00565625
-1.92E-02,-0.00559687
-1.92E-02,-0.00569062
-1.91E-02,-0.00569375
-1.91E-02,-0.00566563
-1.91E-02,-0.00556719
-1.91E-02,-0.00562344
-1.91E-02,-0.00565156
-1.91E-02,-0.00568437
-1.91E-02,-0.00557812
-1.91E-02,-0.00559062
