FN,T (oC),,,,,,,,,,,,,,,,
tek0000ch1.csv,19.4,,,,,,,,,,,,,,,,
tek0001ch1.csv,19.4,,,,,,,,,,,tek0000,ch1.csv,tek0000ch1.csv,,=,!B18
tek0002ch1.csv,20,,,,,,,,,,,tek0001,ch1.csv,tek0001ch1.csv,,,=tek0001ch1.csv!B18
tek0003ch1.csv,25,,,,,,,,,,,tek0002,ch1.csv,tek0002ch1.csv,,,=tek0002ch1.csv!B18
tek0004ch1.csv,30,,,,,,,,,,,tek0003,ch1.csv,tek0003ch1.csv,,,=tek0003ch1.csv!B18
tek0005ch1.csv,35,,,,,,,,,,,tek0004,ch1.csv,tek0004ch1.csv,,,=tek0004ch1.csv!B18
tek0006ch1.csv,40,,,,,,,,,,,tek0005,ch1.csv,tek0005ch1.csv,,,=tek0005ch1.csv!B18
tek0007ch1.csv,45,,,,,,,,,,,tek0006,ch1.csv,tek0006ch1.csv,,,=tek0006ch1.csv!B18
tek0008ch1.csv,50,,,,,,,,,,,tek0007,ch1.csv,tek0007ch1.csv,,,=tek0007ch1.csv!B18
tek0009ch1.csv,55,,,,,,,,,,,tek0008,ch1.csv,tek0008ch1.csv,,,=tek0008ch1.csv!B18
tek0010ch1.csv,60,,,,,,,,,,,tek0009,ch1.csv,tek0009ch1.csv,,,=tek0009ch1.csv!B18
tek0011ch1.csv,65,,,,,,,,,,,tek0010,ch1.csv,tek0010ch1.csv,,,=tek0010ch1.csv!B18
tek0012ch1.csv,70,,,,,,,,,,,tek0011,ch1.csv,tek0011ch1.csv,,,=tek0011ch1.csv!B18
tek0013ch1.csv,75,,,,,,,,,,,tek0012,ch1.csv,tek0012ch1.csv,,,=tek0012ch1.csv!B18
tek0014ch1.csv,80,,,,,,,,,,,tek0013,ch1.csv,tek0013ch1.csv,,,=tek0013ch1.csv!B18
tek0015ch1.csv,85,,,,,,,,,,,tek0014,ch1.csv,tek0014ch1.csv,,,=tek0014ch1.csv!B18
tek0016ch1.csv,90,,,,,,,,,,,tek0015,ch1.csv,tek0015ch1.csv,,,=tek0015ch1.csv!B18
tek0017ch1.csv,95,,,,,,,,,,,tek0016,ch1.csv,tek0016ch1.csv,,,=tek0016ch1.csv!B18
tek0018ch1.csv,100,,,,,,,,,,,tek0017,ch1.csv,tek0017ch1.csv,,,=tek0017ch1.csv!B18
