#DIV/0!,AE (s-1),,,,,,,,,,,,,,
#DIV/0!,AT (s-1),,,,,,,,,,,,,,
8.11,C1,,,,,,,,,,,,,,
-3380,C2,,,,,,,,,,,,,,
#DIV/0!,ln(N(T)) slope,,,,,,,,,,,,,,
#DIV/0!,ln(A) intercept,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
#DIV/0!,Arrhenius Factor (No./s),,,,,,,,,,,,,,
6.62607E-34,h (Js-1),,,,,,,,,,,,,,
299792458,c (ms-1),,,,,,,,,,,,,,
1.38065E-23,k (JK-1),,,,,,,,,,,,,,
#DIV/0!,Ea (cm-1/K),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
A,B,,,,,G,H,I,J,K,L,M,,,
FN,T (oC),,,,,AT (s-1),N(T),1/T (K-1),ln(N),t200C (ms),Nfit(T),tfit (ms),,,
tek0000ch1.csv,19.4,,,,,,,,,,,,,,
tek0001ch1.csv,19.4,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0002ch1.csv,20.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0003ch1.csv,25.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0004ch1.csv,30.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0005ch1.csv,35.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0006ch1.csv,40.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0007ch1.csv,45.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0008ch1.csv,50.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0009ch1.csv,55.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0010ch1.csv,60.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0011ch1.csv,65.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0012ch1.csv,70.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
tek0013ch1.csv,75.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0014ch1.csv,80.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0015ch1.csv,85.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0016ch1.csv,90.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0017ch1.csv,95.0,,,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0018ch1.csv,100.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0019ch1.csv,105.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0020ch1.csv,110.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0021ch1.csv,115.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0022ch1.csv,120.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0023ch1.csv,125.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
tek0024ch1.csv,130.0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,
