Model,MDO3052
Firmware Version,1.2
,
Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0.03
Sample Interval,1.00E-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,-2.48
Vertical Min,-0.00592656
t (ms),#DIV/0!
t1/2 (ms),#DIV/0!
,
,
Label,
TIME (s),CH1 (V)
-2.00E-02,-0.00548281
-2.00E-02,-0.00548594
-2.00E-02,-0.00572031
-2.00E-02,-0.00547813
-2.00E-02,-0.00549687
-2.00E-02,-0.00541719
-1.99E-02,-0.00547344
-1.99E-02,-0.00559531
-1.99E-02,-0.00557969
-1.99E-02,-0.00552969
-1.99E-02,-0.00540937
-1.99E-02,-0.00540937
-1.99E-02,-0.00546875
-1.99E-02,-0.00548437
-1.99E-02,-0.00555781
-1.99E-02,-0.00545469
-1.98E-02,-0.00563906
-1.98E-02,-0.00537969
-1.98E-02,-0.00561719
-1.98E-02,-0.00545
-1.98E-02,-0.00555781
-1.98E-02,-0.00571406
-1.98E-02,-0.00562969
-1.98E-02,-0.00553437
-1.98E-02,-0.00552344
-1.98E-02,-0.00568906
-1.97E-02,-0.00548281
-1.97E-02,-0.00556719
-1.97E-02,-0.00555625
-1.97E-02,-0.0052625
-1.97E-02,-0.00549687
-1.97E-02,-0.00543594
-1.97E-02,-0.00546562
-1.97E-02,-0.00551406
-1.97E-02,-0.00552187
-1.97E-02,-0.00531875
-1.96E-02,-0.00547813
-1.96E-02,-0.00547344
-1.96E-02,-0.00542031
-1.96E-02,-0.005475
-1.96E-02,-0.0054875
-1.96E-02,-0.00561719
-1.96E-02,-0.00543281
-1.96E-02,-0.00559219
-1.96E-02,-0.00547813
-1.96E-02,-0.00540625
-1.95E-02,-0.00561406
-1.95E-02,-0.00543281
-1.95E-02,-0.0055875
-1.95E-02,-0.00547656
-1.95E-02,-0.00540469
-1.95E-02,-0.00557188
-1.95E-02,-0.00545156
-1.95E-02,-0.00550938
-1.95E-02,-0.00560313
-1.95E-02,-0.00542344
-1.94E-02,-0.00539062
-1.94E-02,-0.00555469
-1.94E-02,-0.00552344
-1.94E-02,-0.00544062
-1.94E-02,-0.00557656
-1.94E-02,-0.00551562
-1.94E-02,-0.00570781
-1.94E-02,-0.00556562
-1.94E-02,-0.00549219
-1.94E-02,-0.00567969
-1.93E-02,-0.00556875
-1.93E-02,-0.00555781
-1.93E-02,-0.00554375
-1.93E-02,-0.0056875
-1.93E-02,-0.0055875
-1.93E-02,-0.00573125
-1.93E-02,-0.00551719
-1.93E-02,-0.00552812
-1.93E-02,-0.00571562
-1.93E-02,-0.00548281
-1.92E-02,-0.00555937
-1.92E-02,-0.00565625
-1.92E-02,-0.00569375
-1.92E-02,-0.00570781
-1.92E-02,-0.00533125
-1.92E-02,-0.00554219
-1.92E-02,-0.00555937
-1.92E-02,-0.00553906
-1.92E-02,-0.005675
-1.92E-02,-0.00554531
-1.91E-02,-0.00548281
-1.91E-02,-0.00570156
-1.91E-02,-0.00568125
-1.91E-02,-0.00551406
-1.91E-02,-0.00557188
-1.91E-02,-0.00564062
-1.91E-02,-0.00565469
-1.91E-02,-0.00555937
