Model,MDO3052
Firmware Version,1.2
,
Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0.03
Sample Interval,1.00E-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,-2.48
Vertical Min,-0.00583125
t (ms),#DIV/0!
t1/2 (ms),#DIV/0!
,
,
Label,
TIME (s),CH1 (V)
-2.00E-02,-0.00558594
-2.00E-02,-0.0054375
-2.00E-02,-0.00564687
-2.00E-02,-0.00563594
-2.00E-02,-0.00556719
-2.00E-02,-0.00564844
-1.99E-02,-0.00560937
-1.99E-02,-0.0056
-1.99E-02,-0.00554531
-1.99E-02,-0.00562187
-1.99E-02,-0.00557188
-1.99E-02,-0.00559062
-1.99E-02,-0.005475
-1.99E-02,-0.00557656
-1.99E-02,-0.005625
-1.99E-02,-0.0056125
-1.98E-02,-0.00567031
-1.98E-02,-0.00548125
-1.98E-02,-0.00557812
-1.98E-02,-0.00562812
-1.98E-02,-0.00567812
-1.98E-02,-0.00555469
-1.98E-02,-0.00569531
-1.98E-02,-0.00554219
-1.98E-02,-0.00556719
-1.98E-02,-0.00554687
-1.97E-02,-0.00563906
-1.97E-02,-0.00556562
-1.97E-02,-0.00568437
-1.97E-02,-0.00560937
-1.97E-02,-0.00558906
-1.97E-02,-0.00564844
-1.97E-02,-0.00545469
-1.97E-02,-0.00549687
-1.97E-02,-0.00558281
-1.97E-02,-0.00563281
-1.96E-02,-0.00571562
-1.96E-02,-0.00560625
-1.96E-02,-0.00569688
-1.96E-02,-0.00562969
-1.96E-02,-0.00551562
-1.96E-02,-0.00559687
-1.96E-02,-0.00555469
-1.96E-02,-0.0055625
-1.96E-02,-0.0055875
-1.96E-02,-0.00562656
-1.95E-02,-0.00555469
-1.95E-02,-0.00556406
-1.95E-02,-0.00570625
-1.95E-02,-0.0056625
-1.95E-02,-0.00560937
-1.95E-02,-0.00561719
-1.95E-02,-0.00565156
-1.95E-02,-0.00553125
-1.95E-02,-0.0056625
-1.95E-02,-0.00562187
-1.94E-02,-0.00559844
-1.94E-02,-0.00561719
-1.94E-02,-0.00568125
-1.94E-02,-0.00558906
-1.94E-02,-0.00558906
-1.94E-02,-0.00556562
-1.94E-02,-0.00552656
-1.94E-02,-0.00557812
-1.94E-02,-0.00561406
-1.94E-02,-0.0055875
-1.93E-02,-0.00561094
-1.93E-02,-0.005575
-1.93E-02,-0.00547187
-1.93E-02,-0.00564687
-1.93E-02,-0.00562812
-1.93E-02,-0.00555156
-1.93E-02,-0.00562969
-1.93E-02,-0.00560781
-1.93E-02,-0.00566719
-1.93E-02,-0.005525
-1.92E-02,-0.00552344
-1.92E-02,-0.00555469
-1.92E-02,-0.00556719
-1.92E-02,-0.00562969
-1.92E-02,-0.00561094
-1.92E-02,-0.00554687
-1.92E-02,-0.00567031
-1.92E-02,-0.00558437
-1.92E-02,-0.00553125
-1.92E-02,-0.00557969
-1.91E-02,-0.00559375
-1.91E-02,-0.00560313
-1.91E-02,-0.00568594
-1.91E-02,-0.00557344
-1.91E-02,-0.00559375
-1.91E-02,-0.00563125
-1.91E-02,-0.00567656
-1.91E-02,-0.005625
