Model,MDO3052
Firmware Version,1.2
,
Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0.03
Sample Interval,1.00E-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Vertical Position,-2.9
Vertical Min,-0.00704688
t (ms),#DIV/0!
t1/2 (ms),#DIV/0!
,
,
Label,
TIME (s),CH1 (V)
-2.00E-02,-0.00653125
-2.00E-02,-0.00646875
-2.00E-02,-0.00645313
-2.00E-02,-0.00670313
-2.00E-02,-0.00635938
-2.00E-02,-0.00603125
-1.99E-02,-0.00646875
-1.99E-02,-0.00610938
-1.99E-02,-0.006625
-1.99E-02,-0.00651563
-1.99E-02,-0.00629688
-1.99E-02,-0.0063125
-1.99E-02,-0.00621875
-1.99E-02,-0.00640625
-1.99E-02,-0.00642188
-1.99E-02,-0.00648438
-1.98E-02,-0.006625
-1.98E-02,-0.00642188
-1.98E-02,-0.00621875
-1.98E-02,-0.00592188
-1.98E-02,-0.00603125
-1.98E-02,-0.00635938
-1.98E-02,-0.00617188
-1.98E-02,-0.00675
-1.98E-02,-0.00645313
-1.98E-02,-0.00596875
-1.97E-02,-0.00654688
-1.97E-02,-0.00654688
-1.97E-02,-0.00629688
-1.97E-02,-0.00621875
-1.97E-02,-0.00623438
-1.97E-02,-0.00620313
-1.97E-02,-0.00607813
-1.97E-02,-0.0064375
-1.97E-02,-0.0060625
-1.97E-02,-0.00603125
-1.96E-02,-0.00609375
-1.96E-02,-0.00628125
-1.96E-02,-0.00645313
-1.96E-02,-0.0065
-1.96E-02,-0.00614063
-1.96E-02,-0.00640625
-1.96E-02,-0.00634375
-1.96E-02,-0.00614063
-1.96E-02,-0.00625
-1.96E-02,-0.0063125
-1.95E-02,-0.0060625
-1.95E-02,-0.00621875
-1.95E-02,-0.00628125
-1.95E-02,-0.00620313
-1.95E-02,-0.00654688
-1.95E-02,-0.00621875
-1.95E-02,-0.00628125
-1.95E-02,-0.00654688
-1.95E-02,-0.00640625
-1.95E-02,-0.00639063
-1.94E-02,-0.00646875
-1.94E-02,-0.00596875
-1.94E-02,-0.0063125
-1.94E-02,-0.00628125
-1.94E-02,-0.00632813
-1.94E-02,-0.00617188
-1.94E-02,-0.00614063
-1.94E-02,-0.00621875
-1.94E-02,-0.00639063
-1.94E-02,-0.00615625
-1.93E-02,-0.00626563
-1.93E-02,-0.0061875
-1.93E-02,-0.00645313
-1.93E-02,-0.006375
-1.93E-02,-0.00629688
-1.93E-02,-0.00617188
-1.93E-02,-0.00620313
-1.93E-02,-0.00634375
-1.93E-02,-0.00634375
-1.93E-02,-0.00615625
-1.92E-02,-0.00632813
-1.92E-02,-0.00617188
-1.92E-02,-0.00621875
-1.92E-02,-0.00620313
-1.92E-02,-0.00639063
-1.92E-02,-0.00609375
-1.92E-02,-0.00615625
-1.92E-02,-0.00601563
-1.92E-02,-0.00621875
-1.92E-02,-0.00623438
-1.91E-02,-0.00635938
-1.91E-02,-0.0065
-1.91E-02,-0.00632813
-1.91E-02,-0.00582813
-1.91E-02,-0.00620313
-1.91E-02,-0.00629688
-1.91E-02,-0.0065625
-1.91E-02,-0.00642188
