Model,MDO3052
Firmware Version,1.2
,
Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0.03
Sample Interval,1.00E-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,-2.48
Vertical Min,-0.00581094
t (ms),#DIV/0!
t1/2 (ms),#DIV/0!
,
,
Label,
TIME (s),CH1 (V)
-2.00E-02,-0.00537344
-2.00E-02,-0.0051875
-2.00E-02,-0.00527344
-2.00E-02,-0.00525625
-2.00E-02,-0.00528906
-2.00E-02,-0.00540312
-1.99E-02,-0.005325
-1.99E-02,-0.00529844
-1.99E-02,-0.00527187
-1.99E-02,-0.00529063
-1.99E-02,-0.00535781
-1.99E-02,-0.00536719
-1.99E-02,-0.00540625
-1.99E-02,-0.00517031
-1.99E-02,-0.00537031
-1.99E-02,-0.00531094
-1.98E-02,-0.00532969
-1.98E-02,-0.00533437
-1.98E-02,-0.00525781
-1.98E-02,-0.00536562
-1.98E-02,-0.0053375
-1.98E-02,-0.00530625
-1.98E-02,-0.00535937
-1.98E-02,-0.0053125
-1.98E-02,-0.00535156
-1.98E-02,-0.00539844
-1.97E-02,-0.00537812
-1.97E-02,-0.00541406
-1.97E-02,-0.00533594
-1.97E-02,-0.00538594
-1.97E-02,-0.00533125
-1.97E-02,-0.00536719
-1.97E-02,-0.00541563
-1.97E-02,-0.00534844
-1.97E-02,-0.00531875
-1.97E-02,-0.00532969
-1.96E-02,-0.00542969
-1.96E-02,-0.00527344
-1.96E-02,-0.00538906
-1.96E-02,-0.00532344
-1.96E-02,-0.00519531
-1.96E-02,-0.00545156
-1.96E-02,-0.00535313
-1.96E-02,-0.0053375
-1.96E-02,-0.00525938
-1.96E-02,-0.00544219
-1.95E-02,-0.00540625
-1.95E-02,-0.00536562
-1.95E-02,-0.00541094
-1.95E-02,-0.00532969
-1.95E-02,-0.00525625
-1.95E-02,-0.00531406
-1.95E-02,-0.00536094
-1.95E-02,-0.005325
-1.95E-02,-0.00544062
-1.95E-02,-0.00532031
-1.94E-02,-0.00540937
-1.94E-02,-0.00529219
-1.94E-02,-0.0054
-1.94E-02,-0.00537656
-1.94E-02,-0.00535781
-1.94E-02,-0.00533437
-1.94E-02,-0.00541563
-1.94E-02,-0.00547187
-1.94E-02,-0.00540312
-1.94E-02,-0.00530937
-1.93E-02,-0.0052875
-1.93E-02,-0.00538594
-1.93E-02,-0.00538281
-1.93E-02,-0.00543437
-1.93E-02,-0.00538281
-1.93E-02,-0.00538281
-1.93E-02,-0.00545
-1.93E-02,-0.00523906
-1.93E-02,-0.00546719
-1.93E-02,-0.00528906
-1.92E-02,-0.00538125
-1.92E-02,-0.00526719
-1.92E-02,-0.00540469
-1.92E-02,-0.00534375
-1.92E-02,-0.00536094
-1.92E-02,-0.005275
-1.92E-02,-0.00536406
-1.92E-02,-0.00540156
-1.92E-02,-0.00533437
-1.92E-02,-0.00529219
-1.91E-02,-0.00546719
-1.91E-02,-0.00539531
-1.91E-02,-0.00524375
-1.91E-02,-0.00535469
-1.91E-02,-0.00544062
-1.91E-02,-0.0054
-1.91E-02,-0.00552031
-1.91E-02,-0.0053875
