Model,MDO3052
Firmware Version,1.2
,
Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0.0299
Sample Interval,1.00E-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Vertical Position,-2.74
Vertical Min,-0.00584063
t (ms),#DIV/0!
t1/2 (ms),#DIV/0!
,
,
Label,
TIME (s),CH1 (V)
-2.01E-02,-0.00534688
-2.01E-02,-0.00550313
-2.01E-02,-0.00557188
-2.01E-02,-0.00554687
-2.01E-02,-0.00549375
-2.01E-02,-0.005475
-2.00E-02,-0.00573125
-2.00E-02,-0.00555625
-2.00E-02,-0.00570938
-2.00E-02,-0.00563438
-2.00E-02,-0.00555
-2.00E-02,-0.00540938
-2.00E-02,-0.00545625
-2.00E-02,-0.0054
-2.00E-02,-0.00551563
-2.00E-02,-0.00541563
-1.99E-02,-0.00545625
-1.99E-02,-0.00557188
-1.99E-02,-0.00539063
-1.99E-02,-0.00553125
-1.99E-02,-0.00553125
-1.99E-02,-0.00555
-1.99E-02,-0.00530625
-1.99E-02,-0.00564688
-1.99E-02,-0.00564375
-1.99E-02,-0.00549062
-1.98E-02,-0.00544063
-1.98E-02,-0.00544375
-1.98E-02,-0.0056
-1.98E-02,-0.0053875
-1.98E-02,-0.0054875
-1.98E-02,-0.00523437
-1.98E-02,-0.0054
-1.98E-02,-0.005375
-1.98E-02,-0.0054125
-1.98E-02,-0.00535
-1.97E-02,-0.00559375
-1.97E-02,-0.00569063
-1.97E-02,-0.00550625
-1.97E-02,-0.0053875
-1.97E-02,-0.00552813
-1.97E-02,-0.00543437
-1.97E-02,-0.00548437
-1.97E-02,-0.00551563
-1.97E-02,-0.00563125
-1.97E-02,-0.005375
-1.96E-02,-0.00539063
-1.96E-02,-0.00553125
-1.96E-02,-0.00551875
-1.96E-02,-0.00552188
-1.96E-02,-0.00545938
-1.96E-02,-0.00558125
-1.96E-02,-0.00554063
-1.96E-02,-0.00555
-1.96E-02,-0.00558125
-1.96E-02,-0.00543437
-1.95E-02,-0.00534688
-1.95E-02,-0.00529375
-1.95E-02,-0.00547188
-1.95E-02,-0.00545625
-1.95E-02,-0.00556563
-1.95E-02,-0.00542187
-1.95E-02,-0.0054375
-1.95E-02,-0.00544688
-1.95E-02,-0.00556875
-1.95E-02,-0.00544688
-1.94E-02,-0.005325
-1.94E-02,-0.0056125
-1.94E-02,-0.00540625
-1.94E-02,-0.00544063
-1.94E-02,-0.00564688
-1.94E-02,-0.005425
-1.94E-02,-0.00544063
-1.94E-02,-0.00539688
-1.94E-02,-0.00532813
-1.94E-02,-0.00552188
-1.93E-02,-0.00544063
-1.93E-02,-0.00536562
-1.93E-02,-0.0056
-1.93E-02,-0.00565625
-1.93E-02,-0.00540313
-1.93E-02,-0.00561875
-1.93E-02,-0.0054625
-1.93E-02,-0.00559063
-1.93E-02,-0.00558125
-1.93E-02,-0.00548125
-1.92E-02,-0.00549062
-1.92E-02,-0.00550938
-1.92E-02,-0.00544063
-1.92E-02,-0.00560937
-1.92E-02,-0.0053125
-1.92E-02,-0.00542812
-1.92E-02,-0.00556563
-1.92E-02,-0.00543125
