Trial,Metal,Voltage (V),Current (pA),Frequency (Hz),Wavelength (nm),
1,Calcium, 0.000, 8.03,8.5714E14,350.00,
2,Calcium, 0.240, 5.05,8.5714E14,350.00,
3,Calcium, 0.500, 1.89,8.5714E14,350.00,
4,Calcium, 0.770, 0.00,8.5714E14,350.00,
5,Calcium, 1.019, 0.00,8.5714E14,350.00,
6,Calcium, 2.020,-0.01,8.5714E14,350.00,
7,Calcium, 3.058,-0.01,8.5714E14,350.00,
8,Calcium, 4.021,-0.01,8.5714E14,350.00,
9,Calcium, 4.998, 0.00,8.5714E14,350.00,
