Trial,Metal,Voltage (V),Current (pA),Frequency (Hz),Wavelength (nm),
1,Calcium, 0.000, 8.01,12.0000E14,250.00,
2,Calcium, 0.249, 7.05,12.0000E14,250.00,
3,Calcium, 0.521, 6.00,12.0000E14,250.00,
4,Calcium, 0.752, 5.12,12.0000E14,250.00,
5,Calcium, 1.010, 4.10,12.0000E14,250.00,
6,Calcium, 1.250, 3.18,12.0000E14,250.00,
7,Calcium, 1.502, 2.21,12.0000E14,250.00,
8,Calcium, 1.751, 1.25,12.0000E14,250.00,
9,Calcium, 2.010, 0.24,12.0000E14,250.00,
10,Calcium, 2.242, 0.01,12.0000E14,250.00,
11,Calcium, 2.509, 0.00,12.0000E14,250.00,
12,Calcium, 2.740, 0.00,12.0000E14,250.00,
13,Calcium, 3.010,-0.02,12.0000E14,250.00,
14,Calcium, 3.260,-0.02,12.0000E14,250.00,
15,Calcium, 3.499, 0.00,12.0000E14,250.00,
16,Calcium, 3.761, 0.00,12.0000E14,250.00,
17,Calcium, 4.000,-0.01,12.0000E14,250.00,
18,Calcium, 4.252, 0.02,12.0000E14,250.00,
19,Calcium, 4.509,-0.01,12.0000E14,250.00,
20,Calcium, 4.760, 0.02,12.0000E14,250.00,
21,Calcium, 5.001, 0.01,12.0000E14,250.00,
