Trial,Metal,Voltage (V),Current (pA),Frequency (Hz),Wavelength (nm),
1,Calcium, 0.000, 8.00,7.5000E14,400.00,
2,Calcium, 0.241, 0.00,7.5000E14,400.00,
3,Calcium, 0.510,-0.02,7.5000E14,400.00,
4,Calcium, 1.002, 0.01,7.5000E14,400.00,
5,Calcium, 2.018, 0.02,7.5000E14,400.00,
6,Calcium, 3.041,-0.01,7.5000E14,400.00,
7,Calcium, 4.019, 0.00,7.5000E14,400.00,
8,Calcium, 5.001,-0.01,7.5000E14,400.00,
