Model,MDO3052
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0.03
Sample Interval,1e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,-2.7
,
,
,
Label,
TIME,CH1
-1.811000e-02,-0.00474219
-1.810000e-02,-0.00465781
-1.809000e-02,-0.00452969
-1.808000e-02,-0.00454531
-1.807000e-02,-0.00472344
-1.806000e-02,-0.0046125
-1.805000e-02,-0.00477344
-1.804000e-02,-0.00497031
-1.803000e-02,-0.00471875
-1.802000e-02,-0.00471719
-1.801000e-02,-0.00472969
-1.800000e-02,-0.00461563
-1.799000e-02,-0.00473125
-1.798000e-02,-0.00470938
-1.797000e-02,-0.00459531
-1.796000e-02,-0.00470156
-1.795000e-02,-0.00475156
-1.794000e-02,-0.0046875
-1.793000e-02,-0.00477969
-1.792000e-02,-0.00470625
-1.791000e-02,-0.00478438
-1.790000e-02,-0.00472813
-1.789000e-02,-0.00469375
-1.788000e-02,-0.00463594
-1.787000e-02,-0.00462969
-1.786000e-02,-0.00478906
-1.785000e-02,-0.00462188
-1.784000e-02,-0.00471719
-1.783000e-02,-0.00462188
-1.782000e-02,-0.00455938
-1.781000e-02,-0.00470625
-1.780000e-02,-0.00469063
-1.779000e-02,-0.00445625
-1.778000e-02,-0.00467969
-1.777000e-02,-0.0048125
-1.776000e-02,-0.00460156
-1.775000e-02,-0.00450781
-1.774000e-02,-0.00456719
-1.773000e-02,-0.00460313
-1.772000e-02,-0.00471563
-1.771000e-02,-0.00466406
-1.770000e-02,-0.0045875
-1.769000e-02,-0.00475937
-1.768000e-02,-0.00475156
-1.767000e-02,-0.0046125
-1.766000e-02,-0.00467656
-1.765000e-02,-0.00476875
-1.764000e-02,-0.00481719
-1.763000e-02,-0.0046125
-1.762000e-02,-0.00461875
-1.761000e-02,-0.00491406
-1.760000e-02,-0.00469531
-1.759000e-02,-0.004575
-1.758000e-02,-0.00467188
-1.757000e-02,-0.00467813
-1.756000e-02,-0.00470156
-1.755000e-02,-0.00458438
-1.754000e-02,-0.00467188
-1.753000e-02,-0.0044
-1.752000e-02,-0.00466875
-1.751000e-02,-0.00454531
-1.750000e-02,-0.00463281
-1.749000e-02,-0.00462813
-1.748000e-02,-0.00469063
-1.747000e-02,-0.00467969
-1.746000e-02,-0.00461719
-1.745000e-02,-0.00463437
-1.744000e-02,-0.00457187
-1.743000e-02,-0.00457812
-1.742000e-02,-0.00465
-1.741000e-02,-0.00457812
-1.740000e-02,-0.00487656
-1.739000e-02,-0.004675
-1.738000e-02,-0.00469219
-1.737000e-02,-0.00460156
-1.736000e-02,-0.00460625
-1.735000e-02,-0.00475
-1.734000e-02,-0.00474219
-1.733000e-02,-0.00465469
-1.732000e-02,-0.00442031
-1.731000e-02,-0.00445312
-1.730000e-02,-0.004725
-1.729000e-02,-0.00464062
-1.728000e-02,-0.00483281
-1.727000e-02,-0.00461406
-1.726000e-02,-0.00458125
-1.725000e-02,-0.00474844
-1.724000e-02,-0.00451719
-1.723000e-02,-0.0047625
-1.722000e-02,-0.00477344
-1.721000e-02,-0.0047125
-1.720000e-02,-0.00464375
-1.719000e-02,-0.00457969
-1.718000e-02,-0.00465469
-1.717000e-02,-0.00470938
-1.716000e-02,-0.00478906
-1.715000e-02,-0.00457187
-1.714000e-02,-0.00467969
-1.713000e-02,-0.00461719
-1.712000e-02,-0.00474844
-1.711000e-02,-0.00461563
-1.710000e-02,-0.00484531
-1.709000e-02,-0.00467813
-1.708000e-02,-0.00460938
-1.707000e-02,-0.00463125
-1.706000e-02,-0.00468438
-1.705000e-02,-0.00459219
-1.704000e-02,-0.00464844
-1.703000e-02,-0.00470781
-1.702000e-02,-0.00465625
-1.701000e-02,-0.00467813
-1.700000e-02,-0.00427031
-1.699000e-02,-0.00454688
-1.698000e-02,-0.00478438
-1.697000e-02,-0.00459063
-1.696000e-02,-0.00480781
-1.695000e-02,-0.00471094
-1.694000e-02,-0.00478281
-1.693000e-02,-0.00462031
-1.692000e-02,-0.00472813
-1.691000e-02,-0.00457031
-1.690000e-02,-0.00467031
-1.689000e-02,-0.00459063
-1.688000e-02,-0.0047375
-1.687000e-02,-0.0046875
-1.686000e-02,-0.00465938
-1.685000e-02,-0.00448594
-1.684000e-02,-0.00447969
-1.683000e-02,-0.00469375
-1.682000e-02,-0.00458594
-1.681000e-02,-0.00459219
-1.680000e-02,-0.00471094
-1.679000e-02,-0.00472813
-1.678000e-02,-0.00448594
-1.677000e-02,-0.00468438
-1.676000e-02,-0.00476406
-1.675000e-02,-0.00466094
-1.674000e-02,-0.00474375
-1.673000e-02,-0.00469844
-1.672000e-02,-0.00464375
-1.671000e-02,-0.0047375
-1.670000e-02,-0.00479063
-1.669000e-02,-0.00459375
-1.668000e-02,-0.00463125
-1.667000e-02,-0.00475781
-1.666000e-02,-0.0046625
-1.665000e-02,-0.00457187
-1.664000e-02,-0.00472188
-1.663000e-02,-0.00482031
-1.662000e-02,-0.00457969
-1.661000e-02,-0.00457344
-1.660000e-02,-0.004725
-1.659000e-02,-0.00453594
-1.658000e-02,-0.00467656
-1.657000e-02,-0.00479219
-1.656000e-02,-0.00440938
-1.655000e-02,-0.00456719
-1.654000e-02,-0.00464844
-1.653000e-02,-0.00478125
-1.652000e-02,-0.00463281
-1.651000e-02,-0.00459219
-1.650000e-02,-0.00443906
-1.649000e-02,-0.00458594
-1.648000e-02,-0.00464844
-1.647000e-02,-0.00465938
-1.646000e-02,-0.00472969
-1.645000e-02,-0.00467188
-1.644000e-02,-0.00465781
-1.643000e-02,-0.00470938
-1.642000e-02,-0.00453281
-1.641000e-02,-0.00456094
-1.640000e-02,-0.00461094
-1.639000e-02,-0.00459531
-1.638000e-02,-0.00471406
-1.637000e-02,-0.00448281
-1.636000e-02,-0.0046875
-1.635000e-02,-0.00473125
-1.634000e-02,-0.00482187
-1.633000e-02,-0.00458594
-1.632000e-02,-0.00465938
-1.631000e-02,-0.00478906
-1.630000e-02,-0.00466875
-1.629000e-02,-0.00458594
-1.628000e-02,-0.00457969
-1.627000e-02,-0.00457969
-1.626000e-02,-0.00459844
-1.625000e-02,-0.00478594
-1.624000e-02,-0.00463906
-1.623000e-02,-0.00451875
-1.622000e-02,-0.00486563
-1.621000e-02,-0.00461406
-1.620000e-02,-0.00467813
-1.619000e-02,-0.00461406
-1.618000e-02,-0.00480469
-1.617000e-02,-0.00469844
-1.616000e-02,-0.00460469
-1.615000e-02,-0.00474688
-1.614000e-02,-0.004675
-1.613000e-02,-0.0048625
-1.612000e-02,-0.00471719
-1.611000e-02,-0.00474844
-1.610000e-02,-0.00467344
-1.609000e-02,-0.00477813
-1.608000e-02,-0.00458438
-1.607000e-02,-0.004675
-1.606000e-02,-0.00462813
-1.605000e-02,-0.00460313
-1.604000e-02,-0.0046125
-1.603000e-02,-0.00470469
-1.602000e-02,-0.0045875
-1.601000e-02,-0.00468594
-1.600000e-02,-0.00483281
-1.599000e-02,-0.00481406
-1.598000e-02,-0.00453438
-1.597000e-02,-0.00466563
-1.596000e-02,-0.0047875
-1.595000e-02,-0.00470938
-1.594000e-02,-0.00469531
-1.593000e-02,-0.00451562
-1.592000e-02,-0.00477188
-1.591000e-02,-0.00467188
-1.590000e-02,-0.00465156
-1.589000e-02,-0.00464688
-1.588000e-02,-0.00457187
-1.587000e-02,-0.0047125
-1.586000e-02,-0.00475313
-1.585000e-02,-0.00450937
-1.584000e-02,-0.00456875
-1.583000e-02,-0.00459844
-1.582000e-02,-0.00466875
-1.581000e-02,-0.00461719
-1.580000e-02,-0.00449375
-1.579000e-02,-0.00474063
-1.578000e-02,-0.00445469
-1.577000e-02,-0.00465938
-1.576000e-02,-0.00463125
-1.575000e-02,-0.004625
-1.574000e-02,-0.00465
-1.573000e-02,-0.00460781
-1.572000e-02,-0.00470312
-1.571000e-02,-0.0045125
-1.570000e-02,-0.00456875
-1.569000e-02,-0.00476719
-1.568000e-02,-0.0046375
-1.567000e-02,-0.00470156
-1.566000e-02,-0.0047625
-1.565000e-02,-0.00471406
-1.564000e-02,-0.00461719
-1.563000e-02,-0.0046875
-1.562000e-02,-0.00482969
-1.561000e-02,-0.00465156
-1.560000e-02,-0.0047375
-1.559000e-02,-0.00464844
-1.558000e-02,-0.00459844
-1.557000e-02,-0.00447656
-1.556000e-02,-0.00455313
-1.555000e-02,-0.00458594
-1.554000e-02,-0.00449531
-1.553000e-02,-0.00460156
-1.552000e-02,-0.00456875
-1.551000e-02,-0.00472969
-1.550000e-02,-0.00458281
-1.549000e-02,-0.00462813
-1.548000e-02,-0.00456563
-1.547000e-02,-0.00466563
-1.546000e-02,-0.00477656
-1.545000e-02,-0.00466875
-1.544000e-02,-0.00467656
-1.543000e-02,-0.00465938
-1.542000e-02,-0.00465938
-1.541000e-02,-0.00484063
-1.540000e-02,-0.00452344
-1.539000e-02,-0.00461563
-1.538000e-02,-0.00469219
-1.537000e-02,-0.00438281
-1.536000e-02,-0.00457812
-1.535000e-02,-0.00460469
-1.534000e-02,-0.00463125
-1.533000e-02,-0.0046375
-1.532000e-02,-0.00464688
-1.531000e-02,-0.00455
-1.530000e-02,-0.00473906
-1.529000e-02,-0.00473438
-1.528000e-02,-0.00459063
-1.527000e-02,-0.00449844
-1.526000e-02,-0.00469063
-1.525000e-02,-0.00484688
-1.524000e-02,-0.00475469
-1.523000e-02,-0.004625
-1.522000e-02,-0.00475
-1.521000e-02,-0.00464375
-1.520000e-02,-0.00461875
-1.519000e-02,-0.00470469
-1.518000e-02,-0.00464688
-1.517000e-02,-0.00457344
-1.516000e-02,-0.00445625
-1.515000e-02,-0.00470156
-1.514000e-02,-0.00479688
-1.513000e-02,-0.00459375
-1.512000e-02,-0.00464531
-1.511000e-02,-0.00463437
-1.510000e-02,-0.00442188
-1.509000e-02,-0.00469687
-1.508000e-02,-0.00468281
-1.507000e-02,-0.00475313
-1.506000e-02,-0.00479063
-1.505000e-02,-0.00476719
-1.504000e-02,-0.00458906
-1.503000e-02,-0.0047
-1.502000e-02,-0.0047625
-1.501000e-02,-0.00447344
-1.500000e-02,-0.00452188
-1.499000e-02,-0.00458438
-1.498000e-02,-0.00444531
-1.497000e-02,-0.00482812
-1.496000e-02,-0.00479531
-1.495000e-02,-0.00467969
-1.494000e-02,-0.00469219
-1.493000e-02,-0.00467656
-1.492000e-02,-0.00472031
-1.491000e-02,-0.00462188
-1.490000e-02,-0.00466875
-1.489000e-02,-0.00473594
-1.488000e-02,-0.00468594
-1.487000e-02,-0.00468438
-1.486000e-02,-0.00469375
-1.485000e-02,-0.00462813
-1.484000e-02,-0.00480313
-1.483000e-02,-0.00482812
-1.482000e-02,-0.00463906
-1.481000e-02,-0.00467031
